"","X","Id","Id.Type","smiles"
"56","27","44396301","cid","CC1=CC=C(O1)CC(C(=O)NC2CCCCC2)N(C3CCCC3)C(=O)C4=CC=C(N4)C5=CC=CC=C5"
"57","28","44396322","cid","CC1=CC=C(O1)CC(C(=O)NC2CCCCC2)N(CC3=CC=CC=C3)C(=O)C4=CC=C(N4)C5=CC=CC=C5"
"58","29","46226252","cid","CC(C)[C@@H](C1=CC=C(C=C1)Cl)C(=O)NC2=NC=C(S2)F"
"59","30","46236457","cid","C[C@@H](C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]3CCCN3C(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CC4=CN=CN4)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]5CCCN5C(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC6=CC=CC=C6)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)CN"
"60","32","71769183","cid","CC(C)(C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N3CCC[C@]4(CC3)C5=CC=CC=C5NC4=O)N"
"61","1",NA,"cid",NA
"62","2",NA,"cid",NA
"63","3",NA,"cid",NA
"64","4",NA,"cid",NA
"65","5",NA,"cid",NA
"66","6",NA,"cid",NA
"67","7",NA,"cid",NA
"68","8",NA,"cid",NA
"69","9",NA,"cid",NA
"70","10",NA,"cid",NA
"71","11",NA,"cid",NA
"72","12",NA,"cid",NA
"73","13",NA,"cid",NA
"74","14",NA,"cid",NA
"75","15",NA,"cid",NA
"76","16",NA,"cid",NA
"77","17",NA,"cid",NA
"78","18",NA,"cid",NA
