"","X","Id","Id.Type","Standard.Value","smiles"
"662",23,"44436828","cid",0.013,"COC1=CC=C(C=C1)CN2C(NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H]5CCCN5)CCC6=CC=CC=C6"
"663",24,"16113468","cid",0.014,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=C(C=C(C=C4)OC)OC)CCC5=CNC6=CC=CC=C65)N"
"664",25,"16113468","cid",0.014,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=C(C=C(C=C4)OC)OC)CCC5=CNC6=CC=CC=C65)N"
"665",26,"16113904","cid",0.014,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=CC=C(C=C4)OC)CCCC5=CC=CC=C5)N"
"666",27,"16113904","cid",0.014,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=CC=C(C=C4)OC)CCCC5=CC=CC=C5)N"
"667",28,"44445591","cid",0.014,"CC(C)(C(=O)N[C@H](C1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=C(C=C(C=C4)OC)OC)CCC5=CNC6=CC=CC=C65)N"
"668",29,"44445606","cid",0.014,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CC5=CC=CC=N5)CCC6=CNC7=CC=CC=C76)OC"
"669",30,"67406727","cid",0.014,"CC1=CC(=NC=N1)C2=CC3=C(C=C2)[C@@H](CC3)N4CC5(C4)CCN(CC5)C(=O)CC6=C(C=C(C=C6)OC)C(=O)N"
"670",31,"118725956","cid",0.014,"CC1=CC(=NC=N1)C2=CC3=C(C=C2)[C@@H](CC3)N4CC5(C4)CCN(CC5)C(=O)CC6=NC=C(C=C6)C7CC7"
"671",32,"16203569","cid",0.017,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=C(C=C(C=C4)OC)OC)CCC5=CC=CC=C5)N"
"672",33,"16203569","cid",0.017,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=C(C=C(C=C4)OC)OC)CCC5=CC=CC=C5)N"
"673",34,"44445593","cid",0.017,"CC(C)(C(=O)N[C@H](C1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=C(C=C(C=C4)OC)OC)CCC5=CC=CC=C5)N"
"674",35,"58438460","cid",0.017,"CC1=CC(=NC=N1)C2=CC3=C(C=C2)[C@@H](CC3)N4CC5(C4)CCN(CC5)C(=O)CC6=NC=C(C=C6)OC"
"675",36,"44436842","cid",0.018,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)C5CCCCN5)CCC6=CNC7=CC=CC=C76"
"676",37,"16113796","cid",0.019,"CC(C)(C(=O)N[C@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=CC=C(C=C4)OC)CC5=CC=CC=C5)N"
"677",38,"16114404","cid",0.019,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)CN)CCC5=CC=CC=C5"
"678",39,"16114404","cid",0.019,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)CN)CCC5=CC=CC=C5"
"679",40,"44445594","cid",0.019,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=CC=N5)CCC6=CNC7=CC=CC=C76)OC"
"680",41,"44445619","cid",0.023,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=CC=C5)CCC6=CC=CC=C6"
"681",42,"44436817","cid",0.024,"COC1=CC=C(C=C1)CN2C(NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H](CC5=CC=CC=C5)N)CCC6=CC=CC=C6"
"682",43,"44445626","cid",0.024,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=NC=CN=C5)CCC6=CC=CC=C6)OC"
"683",44,"44445595","cid",0.025,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=CC=N5)CCC6=CC=CC=C6)OC"
"684",45,"15945877","cid",0.027,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H]5CCCCN5)CCC6=CC=CC=C6"
"685",46,"16113002","cid",0.027,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)CN)CCC5=CNC6=CC=CC=C65)OC"
"686",47,"118725960","cid",0.028,"CC1=CC(=NC=N1)C2=CC3=C(C=C2)[C@@H](CC3)N4CC5(C4)CCN(CC5)C(=O)CC6=C(C=C(C=C6)OC)C#N"
"687",48,"44436831","cid",0.032,"COC1=CC(=C(C=C1)CN2C(NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H]5CCCN5)CCC6=CC=CC=C6)OC"
"688",49,"44445609","cid",0.034,"CCC1=CC=C(C=C1)N2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CC5=CC=CC=N5)CCC6=CNC7=CC=CC=C76"
"689",50,"44445607","cid",0.035,"COC1=CC(=C(C=C1)N2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CC5=CC=CC=N5)CCC6=CC=CC=C6)OC"
"690",51,"44445612","cid",0.041,"C1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CC5=CC=CC=N5)CCC6=CNC7=CC=CC=C76"
"691",52,"44436888","cid",0.051,"COC1=CC=C(C=C1)CN2C(NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)C5CCOCC5)CCC6=CC=CC=C6"
"692",53,"16114403","cid",0.053,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H]5CCCCN5)CCC6=CC=CC=C6"
"693",54,"118725966","cid",0.057,"CC1=CC(=NC=N1)C2=CC3=C(C=C2)[C@@H](CC3)N4CC5(C4)CCN(CC5)C(=O)CC6=C(C=C(C=C6)OC)NC(=O)C"
"694",55,"44445596","cid",0.065,"COC1=CC(=C(C=C1)N2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=CC=N5)CCC6=CC=CC=C6)OC"
"695",56,"16113799","cid",0.069,"CC(C)(C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C3=NN=C(N3CC4=C(C=C(C=C4)OC)OC)CCC5=CNC6=CC=CC=C65)N"
"696",57,"44445628","cid",0.076,"CCC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=NC=CN=C5)CCC6=CC=CC=C6"
"697",58,"118725963","cid",0.081,"CC1=CC(=NC=N1)C2=CC3=C(C=C2)[C@@H](CC3)N4CC5(C4)CCN(CC5)C(=O)COC6=C(C=C(C=C6)OC)C(=O)N"
"698",59,"44445603","cid",0.093,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=NC=C5)CCC6=CC=CC=C6)OC"
"699",60,"44445615","cid",0.093,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CC5=CN=CC=C5)CCC6=CC=CC=C6"
"700",61,"118725964","cid",0.095,"CC1=CC(=NC=N1)C2=CC3=C(C=C2)[C@@H](CC3)N4CC5(C4)CCN(CC5)C(=O)CCC6=C(C=C(C=C6)OC)C(=O)N"
"701",62,"44445625","cid",0.097,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=NC=CN=C5)CCC6=CNC7=CC=CC=C76)OC"
"702",63,"44445599","cid",0.102,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=CC=N5)CCC6=CNC7=CC=CC=C76"
"703",64,"44445608","cid",0.124,"CCC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CC5=CC=CC=N5)CCC6=CC=CC=C6"
"704",65,"44445598","cid",0.129,"CCC1=CC=C(C=C1)N2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=CC=N5)CCC6=CNC7=CC=CC=C76"
"705",66,"44445624","cid",0.14,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)[C@H]5CCCC[C@H]5N)CCC6=CNC7=CC=CC=C76)OC"
"706",67,"118725962","cid",0.328,"CC1=NC(=NC=C1)C2=CC3=C(C=C2)[C@@H](CC3)N4CC5(C4)CCN(CC5)C(=O)CC6=CN=C(C=C6C(=O)N)OC"
"707",68,"44445597","cid",0.513,"CCC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=CC=N5)CCC6=CC=CC=C6"
"708",69,"44445627","cid",0.53,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=NC=CN=C5)CCC6=CC=CC=C6"
"709",70,"16113122","cid",NA,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)CN)CCC5=CC=CC=C5)OC"
"710",71,"23648232","cid",NA,"CCC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)CN)CCC5=CC=CC=C5"
"711",72,"23648233","cid",NA,"C1=CC=C(C=C1)CCC2=NN=C(N2C3=CC=CC=C3)[C@@H](CC4=CNC5=CC=CC=C54)NC(=O)CN"
"712",73,"23648235","cid",NA,"CCC1=CC=C(C=C1)N2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)CN)CCC5=CNC6=CC=CC=C65"
"713",74,"23648242","cid",NA,"CCC1=CC=C(C=C1)N2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H]5CCCN5)CCC6=CNC7=CC=CC=C76"
"714",75,"23656300","cid",NA,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H]5CCCCN5)CCC6=CC=CC=C6)OC"
"715",76,"44436807","cid",NA,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)CN)CCC5C=NC6=CC=CC=C56"
"716",77,"44436813","cid",NA,"CCC1=CC=C(C=C1)CN2C(NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H](C)N)CCC5=CC=CC=C5"
"717",78,"44436832","cid",NA,"CCC1=CC=C(C=C1)CN2C(NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@@H]5CCCN5)CCC6=CC=CC=C6"
"718",79,"44436917","cid",NA,"CCC1=CC=C(C=C1)CN2C(NN=C2[C@@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H]5CCCCN5)CCC6=CC=CC=C6"
"719",80,"44445601","cid",NA,"C1=CC=C(C=C1)CCC2=NN=C(N2C3=CC=CC=C3)[C@@H](C4=CNC5=CC=CC=C54)NC(=O)C6=CC=CC=N6"
"720",81,"44445602","cid",NA,"C1=CC=C(C=C1)N2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=CC=N5)CCC6=CNC7=CC=CC=C76"
"721",82,"44445604","cid",NA,"CCC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=NC=C5)CCC6=CC=CC=C6"
"722",83,"44445605","cid",NA,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=NC=C5)CCC6=CC=CC=C6"
"723",84,"44445613","cid",NA,"C1=CC=C(C=C1)CCC2=NN=C(N2C3=CC=CC=C3)[C@@H](C4=CNC5=CC=CC=C54)NC(=O)CC6=CC=CC=N6"
"724",85,"44445614","cid",NA,"CCC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CC5=CN=CC=C5)CCC6=CC=CC=C6"
"725",86,"44445617","cid",NA,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CC5=CC=NC=C5)CCC6=CC=CC=C6"
"726",87,"44445618","cid",NA,"COC1=CC=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)CCC5=CN=CC=C5)CCC6=CC=CC=C6"
"727",88,"44445622","cid",NA,"COC1=CC(=C(C=C1)CN2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=CC=CC=C5N)CCC6=CNC7=CC=CC=C76)OC"
"728",89,"44445629","cid",NA,"COC1=CC(=C(C=C1)N2C(=NN=C2[C@@H](C3=CNC4=CC=CC=C43)NC(=O)C5=NC=CN=C5)CCC6=CC=CC=C6)OC"
"729",90,"118725954","cid",NA,"CC1=CN=C(C=C1)CC(=O)N2CCC3(CC2)CN(C3)[C@@H]4CCC5=C4C=CC(=C5)C6=NC=NC(=C6)C"
"730",91,"118725958","cid",NA,"CC1=CC(=NC=N1)C2=CC3=C(C=C2)[C@@H](CC3)N4CC5(C4)CCN(CC5)C(=O)CC6=NN(C7=C6C=CC=N7)C"
"731",92,"118725965","cid",NA,"CC1=CC(=NC=N1)C2=CC3=C(C=C2)[C@@H](CC3)N4CC5(C4)CCN(CC5)C(=O)CC6=C(C=C(C=C6)OC)C(=O)NC"
"732",1,"23631116","cid",6.57,"CC1=NC2=C(C=C(C=C2)OC3=CC=C(C=C3)F)C(=O)N1C[C@H]4CCCN(C4)C(C)C"
