"","X","Id","Id.Type","Standard.Value","smiles"
"178",178,NA,"cid",1000,NA
"179",179,NA,"cid",100,NA
"180",180,NA,"cid",10,NA
"181",181,NA,"cid",100,NA
"182",182,NA,"cid",0.1,NA
"183",183,NA,"cid",10,NA
"184",184,NA,"cid",10,NA
"185",185,NA,"cid",100,NA
"186",186,NA,"cid",100,NA
"187",187,NA,"cid",10,NA
"188",188,NA,"cid",100,NA
"189",189,NA,"cid",10,NA
"190",190,NA,"cid",10,NA
"191",191,NA,"cid",1000,NA
"192",192,NA,"cid",100,NA
"193",193,NA,"cid",10000,NA
"194",194,NA,"cid",10,NA
"195",195,NA,"cid",10000,NA
"196",196,NA,"cid",10000,NA
"197",197,NA,"cid",10,NA
"198",198,NA,"cid",10,NA
"199",199,NA,"cid",0.1,NA
"200",200,NA,"cid",10,NA
"201",201,NA,"cid",0.1,NA
"202",202,NA,"cid",10,NA
"203",203,NA,"cid",100,NA
"204",204,NA,"cid",100,NA
"205",205,NA,"cid",10000,NA
"206",206,NA,"cid",100,NA
"207",207,NA,"cid",100,NA
"208",208,NA,"cid",100,NA
"209",209,NA,"cid",0.1,NA
"210",210,NA,"cid",1000,NA
"211",211,NA,"cid",100,NA
"212",212,NA,"cid",10000,NA
"213",213,NA,"cid",1000,NA
"214",214,NA,"cid",100,NA
"215",215,NA,"cid",10,NA
"216",216,NA,"cid",0.1,NA
"217",217,NA,"cid",100,NA
"218",218,NA,"cid",100,NA
"219",219,NA,"cid",1000,NA
"220",220,NA,"cid",100,NA
"221",221,NA,"cid",1000,NA
"222",222,NA,"cid",1000,NA
"223",223,NA,"cid",10000,NA
"224",224,NA,"cid",10000,NA
"225",225,NA,"cid",1000,NA
"226",226,NA,"cid",10,NA
"227",227,NA,"cid",190,NA
"228",228,NA,"cid",1000,NA
"229",229,NA,"cid",9.12,NA
"230",230,NA,"cid",0.05,NA
"231",231,NA,"cid",2.6,NA
"232",232,NA,"cid",22.1,NA
"233",233,NA,"cid",29.51,NA
"234",234,NA,"cid",286,NA
"235",235,NA,"cid",5,NA
"236",236,NA,"cid",247.2,NA
"237",237,NA,"cid",6.607,NA
"238",238,NA,"cid",202,NA
"239",239,NA,"cid",3,NA
"240",240,NA,"cid",4.571,NA
"241",241,NA,"cid",6.607,NA
"242",242,NA,"cid",121,NA
"243",243,NA,"cid",3630.78,NA
"244",244,NA,"cid",4.4,NA
"245",245,NA,"cid",85.11,NA
"246",246,NA,"cid",10000,NA
"247",247,NA,"cid",100,NA
"248",248,NA,"cid",8,NA
"249",249,NA,"cid",44,NA
"250",250,NA,"cid",0.01,NA
"251",251,NA,"cid",6.7,NA
"252",252,NA,"cid",2,NA
"253",253,NA,"cid",6.6,NA
"254",254,NA,"cid",10,NA
"255",255,NA,"cid",100,NA
"256",256,NA,"cid",0.1,NA
"257",257,NA,"cid",10,NA
"258",258,NA,"cid",100,NA
"259",259,NA,"cid",10,NA
"260",260,NA,"cid",10000,NA
"261",261,NA,"cid",1000,NA
"262",262,NA,"cid",10000,NA
"263",263,NA,"cid",0.1,NA
"264",264,NA,"cid",9,NA
"265",265,NA,"cid",100,NA
"266",266,NA,"cid",3.1,NA
"267",267,NA,"cid",1.5,NA
"268",268,NA,"cid",0.27,NA
"269",269,NA,"cid",NA,NA
"270",270,NA,"cid",100,NA
"271",271,NA,"cid",1000,NA
"272",272,NA,"cid",100,NA
"273",273,NA,"cid",1000,NA
"274",274,NA,"cid",100,NA
"275",275,NA,"cid",500,NA
"276",276,NA,"cid",100,NA
"277",277,NA,"cid",10,NA
"278",278,NA,"cid",100,NA
"279",279,NA,"cid",1000,NA
"280",280,NA,"cid",100,NA
"281",281,NA,"cid",100,NA
"282",282,NA,"cid",20,NA
"283",283,NA,"cid",52,NA
"284",284,NA,"cid",9.12,NA
"285",285,NA,"cid",10000,NA
"286",286,NA,"cid",6.607,NA
"287",287,NA,"cid",10,NA
"288",288,NA,"cid",10,NA
"289",289,NA,"cid",100,NA
"290",290,NA,"cid",100,NA
"291",291,NA,"cid",10,NA
"292",292,NA,"cid",100,NA
"293",293,NA,"cid",100,NA
"294",294,NA,"cid",100,NA
"295",295,NA,"cid",1000,NA
"296",296,NA,"cid",3.981,NA
"297",297,NA,"cid",25118.86,NA
"298",298,NA,"cid",7.413,NA
"299",299,NA,"cid",0.1,NA
"300",300,NA,"cid",10,NA
"301",301,NA,"cid",100,NA
"302",302,NA,"cid",10,NA
"303",303,NA,"cid",100,NA
"304",304,NA,"cid",10000,NA
"305",305,NA,"cid",100,NA
"306",306,NA,"cid",10000,NA
"307",307,NA,"cid",0.1,NA
"308",308,NA,"cid",10,NA
"309",309,NA,"cid",10,NA
"310",310,NA,"cid",100,NA
"311",311,NA,"cid",100,NA
"312",312,NA,"cid",10,NA
"313",313,NA,"cid",10,NA
"314",314,NA,"cid",10,NA
"315",315,NA,"cid",100,NA
"316",316,NA,"cid",1000,NA
"317",317,NA,"cid",10,NA
"318",318,NA,"cid",100,NA
"319",319,NA,"cid",100,NA
"320",320,NA,"cid",100,NA
"321",321,NA,"cid",10000,NA
"322",322,NA,"cid",100,NA
"323",323,NA,"cid",100,NA
"324",324,NA,"cid",107,NA
"325",325,NA,"cid",1000,NA
"326",326,NA,"cid",1000,NA
"327",327,NA,"cid",1000,NA
"328",328,NA,"cid",10000,NA
"329",329,NA,"cid",10000,NA
"330",330,NA,"cid",100,NA
"331",331,NA,"cid",10000,NA
