"","Id","Id.Type","Standard.Value"
"161","CHEMBL1079091","chemblid",16
"162","CHEMBL434573","chemblid",150
"163","CHEMBL387109","chemblid",140
"164","CHEMBL223810","chemblid",840
"165","CHEMBL375102","chemblid",14
"166","CHEMBL221996","chemblid",310
"167","CHEMBL2310890","chemblid",0.98
"168","CHEMBL376258","chemblid",18
"169","CHEMBL368034","chemblid",11
"170","CHEMBL223323","chemblid",470
"171","CHEMBL222710","chemblid",400
"172","CHEMBL204880","chemblid",199
"173","CHEMBL207268","chemblid",276
"174","CHEMBL263544","chemblid",7.1
"175","CHEMBL380971","chemblid",2.7
"176","CHEMBL206638","chemblid",11
"177","CHEMBL207754","chemblid",40
"178","CHEMBL205374","chemblid",14
"179","CHEMBL206687","chemblid",19
"180","CHEMBL203019","chemblid",NA
"181","CHEMBL206820","chemblid",1.5
"182","CHEMBL377515","chemblid",7.5
"183","CHEMBL205711","chemblid",2
"184","CHEMBL203581","chemblid",10000
"185","CHEMBL206673","chemblid",354
"186","CHEMBL204884","chemblid",3080
"187","CHEMBL204897","chemblid",21
"188","CHEMBL383058","chemblid",380
"189","CHEMBL205790","chemblid",10000
"190","CHEMBL203948","chemblid",2580
"191","CHEMBL205955","chemblid",7160
"192","CHEMBL399652","chemblid",1000
"193","CHEMBL415134","chemblid",177
"194","CHEMBL399649","chemblid",270
"195","CHEMBL212354","chemblid",56
"196","CHEMBL208374","chemblid",700
"197","CHEMBL208374","chemblid",67
"198","CHEMBL205660","chemblid",2.8
"199","CHEMBL205521","chemblid",1.5
"200","CHEMBL383058","chemblid",450
"201","CHEMBL113313","chemblid",3000
"202","CHEMBL538068","chemblid",340
"203","CHEMBL222912","chemblid",195
"204","CHEMBL374920","chemblid",140
"205","CHEMBL181350","chemblid",29
"206","CHEMBL222498","chemblid",240
"207","CHEMBL374918","chemblid",640
"208","CHEMBL434738","chemblid",170
"209","CHEMBL376736","chemblid",66
"210","CHEMBL221517","chemblid",1000
"211","CHEMBL178668","chemblid",180
"212","CHEMBL427076","chemblid",550
"213","CHEMBL187271","chemblid",492
"214","CHEMBL182542","chemblid",308
"215","CHEMBL178161","chemblid",NA
"216","CHEMBL185028","chemblid",564
"217","CHEMBL181739","chemblid",4000
"218","CHEMBL386218","chemblid",620
"219","CHEMBL381159","chemblid",772
"220","CHEMBL204322","chemblid",3430
"221","CHEMBL204852","chemblid",57
"222","CHEMBL13817","chemblid",0.51
"223","CHEMBL250974","chemblid",1.1
"224","CHEMBL266063","chemblid",0.6
"225","CHEMBL249640","chemblid",105
"226","CHEMBL251640","chemblid",67
"227","CHEMBL205660","chemblid",19
"228","CHEMBL203280","chemblid",12
"229","CHEMBL381159","chemblid",192
"230","CHEMBL381942","chemblid",310
"231","CHEMBL205136","chemblid",9.2
"232","CHEMBL206446","chemblid",32
"233","CHEMBL203373","chemblid",120
"234","CHEMBL13817","chemblid",0.4
"235","CHEMBL507636","chemblid",210
"236","CHEMBL178668","chemblid",180
"237","CHEMBL436275","chemblid",510
"238","CHEMBL403426","chemblid",45
"239","CHEMBL403066","chemblid",NA
"240","CHEMBL450217","chemblid",1000
"241","CHEMBL361804","chemblid",1.6
"242","CHEMBL186974","chemblid",29
"243","CHEMBL443560","chemblid",600
"244","CHEMBL181731","chemblid",10000
"245","CHEMBL506986","chemblid",21
"246","CHEMBL506986","chemblid",2.6
"247","CHEMBL506986","chemblid",1000
"248","CHEMBL506986","chemblid",1000
"249","CHEMBL278623","chemblid",123
"250","CHEMBL509976","chemblid",0.35
"251","CHEMBL383454","chemblid",10
"252","CHEMBL181736","chemblid",41
"253","CHEMBL402811","chemblid",1000
"254","CHEMBL2113318","chemblid",9
"255","CHEMBL398797","chemblid",1000
"256","CHEMBL386290","chemblid",221
"257","CHEMBL136092","chemblid",2000
"258","CHEMBL365460","chemblid",15
"259","CHEMBL182655","chemblid",10
"260","CHEMBL364430","chemblid",19
"261","CHEMBL376459","chemblid",1000
"262","CHEMBL359714","chemblid",3100
"263","CHEMBL536779","chemblid",960
"264","CHEMBL414929","chemblid",29
"265","CHEMBL441567","chemblid",480
"266","CHEMBL266964","chemblid",61
"267","CHEMBL399648","chemblid",3
"268","CHEMBL401468","chemblid",51
"269","CHEMBL401260","chemblid",220
"270","CHEMBL301259","chemblid",36.2
"271","CHEMBL111780","chemblid",1e+05
"272","CHEMBL278909","chemblid",600
"273","CHEMBL526723","chemblid",870
"274","CHEMBL178475","chemblid",0.02
"275","CHEMBL443560","chemblid",2900
"276","CHEMBL434391","chemblid",NA
"277","CHEMBL434391","chemblid",807
"278","CHEMBL182542","chemblid",132
"279","CHEMBL3319398","chemblid",0.24
"280","CHEMBL3319396","chemblid",0.62
"281","CHEMBL3319220","chemblid",0.31
"282","CHEMBL3319214","chemblid",8.6
"283","CHEMBL3319212","chemblid",13
"284","CHEMBL3319280","chemblid",27
"285","CHEMBL3319408","chemblid",7.2
"286","CHEMBL3319228","chemblid",0.48
"287","CHEMBL401259","chemblid",58
"288","CHEMBL399448","chemblid",33
"289","CHEMBL501261","chemblid",18
"290","CHEMBL502208","chemblid",68
"291","CHEMBL500703","chemblid",21
"292","CHEMBL401084","chemblid",14
"293","CHEMBL400381","chemblid",18.5
"294","CHEMBL249660","chemblid",1000
"295","CHEMBL249639","chemblid",1.9
"296","CHEMBL250807","chemblid",49
"297","CHEMBL509976","chemblid",1000
"298","CHEMBL509976","chemblid",81
"299","CHEMBL2113321","chemblid",6.5
"300","CHEMBL392191","chemblid",32
"301","CHEMBL240522","chemblid",54
"302","CHEMBL240746","chemblid",255
"303","CHEMBL362595","chemblid",4500
"304","CHEMBL178329","chemblid",100
"305","CHEMBL449590","chemblid",60
"306","CHEMBL501261","chemblid",3.2
"307","CHEMBL252448","chemblid",7
"308","CHEMBL509976","chemblid",1000
"309","CHEMBL379191","chemblid",18
"310","CHEMBL213703","chemblid",108
"311","CHEMBL386290","chemblid",10000
"312","CHEMBL211188","chemblid",126
"313","CHEMBL178838","chemblid",7100
"314","CHEMBL205451","chemblid",0.8
"315","CHEMBL206486","chemblid",45
"316","CHEMBL203280","chemblid",7.4
"317","CHEMBL207754","chemblid",10
"318","CHEMBL382853","chemblid",187
"319","CHEMBL428282","chemblid",1e+07
"320","CHEMBL444432","chemblid",2000
"321","CHEMBL3218889","chemblid",4000
"322","CHEMBL3218894","chemblid",7.6
"323","CHEMBL3358451","chemblid",6.31
"324","CHEMBL320289","chemblid",0.2
"325","CHEMBL540093","chemblid",3500
"326","CHEMBL1077839","chemblid",272
"327","CHEMBL1079045","chemblid",46
"328","CHEMBL1079873","chemblid",310
"329","CHEMBL184368","chemblid",190
"330","CHEMBL3218884","chemblid",7.3
"331","CHEMBL3218906","chemblid",200
"332","CHEMBL1080389","chemblid",9.1
"333","CHEMBL412799","chemblid",0.77
"334","CHEMBL3218895","chemblid",120
"335","CHEMBL3218898","chemblid",5
"336","CHEMBL3218645","chemblid",0.12
"337","CHEMBL105462","chemblid",6000
"338","CHEMBL13817","chemblid",300
"339","CHEMBL417092","chemblid",116
"340","CHEMBL203280","chemblid",19
"341","CHEMBL209394","chemblid",16
"342","CHEMBL208930","chemblid",1670
"343","CHEMBL213703","chemblid",72
"344","CHEMBL222518","chemblid",120
"345","CHEMBL179812","chemblid",4100
"346","CHEMBL181736","chemblid",370
"347","CHEMBL181731","chemblid",NA
"348","CHEMBL178329","chemblid",10000
"349","CHEMBL2310893","chemblid",48
"350","CHEMBL434649","chemblid",10000
"351","CHEMBL422461","chemblid",55
"352","CHEMBL18725","chemblid",58
"353","CHEMBL373993","chemblid",850
"354","CHEMBL434330","chemblid",39
"355","CHEMBL509976","chemblid",1000
"356","CHEMBL509976","chemblid",6.1
"357","CHEMBL509976","chemblid",1000
"358","CHEMBL509976","chemblid",1000
"359","CHEMBL18725","chemblid",74
"360","CHEMBL180096","chemblid",15
"361","CHEMBL183916","chemblid",160
"362","CHEMBL506986","chemblid",83
"363","CHEMBL506986","chemblid",19
"364","CHEMBL506986","chemblid",27
"365","CHEMBL509976","chemblid",1000
"366","CHEMBL204325","chemblid",85
"367","CHEMBL203843","chemblid",780
"368","CHEMBL204511","chemblid",110
"369","CHEMBL447282","chemblid",55000
"370","CHEMBL509976","chemblid",1000
"371","CHEMBL3319400","chemblid",0.43
"372","CHEMBL3586033","chemblid",0.23
"373","CHEMBL3586031","chemblid",42
"374","CHEMBL3586024","chemblid",36
"375","CHEMBL3586022","chemblid",260
"376","CHEMBL3586020","chemblid",84
