"","Id","Id.Type","Standard.Value"
"156","CHEMBL254765","chemblid",0.42
"157","CHEMBL360877","chemblid",3.4
"158","CHEMBL399651","chemblid",16
"159","CHEMBL256236","chemblid",302
"160","CHEMBL402808","chemblid",244
"161","CHEMBL404336","chemblid",0.5
"162","CHEMBL237933","chemblid",17
"163","CHEMBL376258","chemblid",4
"164","CHEMBL260831","chemblid",39.81
"165","CHEMBL2364455","chemblid",79.43
"166","CHEMBL2364458","chemblid",12.59
"167","CHEMBL2364467","chemblid",31.62
"168","CHEMBL528332","chemblid",120
"169","CHEMBL1161835","chemblid",0.6026
"170","CHEMBL106841","chemblid",10
"171","CHEMBL1162064","chemblid",16.98
"172","CHEMBL608827","chemblid",30
"173","CHEMBL608826","chemblid",77.62
"174","CHEMBL284295","chemblid",4.5
"175","CHEMBL442151","chemblid",100
"176","CHEMBL241033","chemblid",NA
"177","CHEMBL47938","chemblid",1
"178","CHEMBL310457","chemblid",0.8
"179","CHEMBL259166","chemblid",0.2
"180","CHEMBL1161827","chemblid",2
"181","CHEMBL1161822","chemblid",4.8
"182","CHEMBL294923","chemblid",10
"183","CHEMBL1161823","chemblid",5.623
"184","CHEMBL13817","chemblid",1.349
"185","CHEMBL237932","chemblid",546
"186","CHEMBL392077","chemblid",4
"187","CHEMBL427680","chemblid",NA
"188","CHEMBL209360","chemblid",1.3
"189","CHEMBL47938","chemblid",1
"190","CHEMBL482203","chemblid",10
"191","CHEMBL489401","chemblid",30
"192","CHEMBL2364341","chemblid",63.1
"193","CHEMBL2364343","chemblid",10
"194","CHEMBL2364377","chemblid",10
"195","CHEMBL2364358","chemblid",10
"196","CHEMBL2364361","chemblid",50.12
"197","CHEMBL2364362","chemblid",50.12
"198","CHEMBL61663","chemblid",72
"199","CHEMBL1078343","chemblid",10000
"200","CHEMBL236311","chemblid",30
"201","CHEMBL411259","chemblid",0.6
"202","CHEMBL261358","chemblid",1.3
"203","CHEMBL409894","chemblid",27
"204","CHEMBL259016","chemblid",3.3
"205","CHEMBL263141","chemblid",140
"206","CHEMBL258761","chemblid",1.4
"207","CHEMBL375102","chemblid",140
"208","CHEMBL3218890","chemblid",1.3
"209","CHEMBL256808","chemblid",10
"210","CHEMBL252255","chemblid",75
"211","CHEMBL3350011","chemblid",440
"212","CHEMBL254766","chemblid",1.6
"213","CHEMBL254566","chemblid",1.66
"214","CHEMBL254363","chemblid",1.26
"215","CHEMBL254972","chemblid",6.75
"216","CHEMBL251366","chemblid",19.95
"217","CHEMBL251365","chemblid",5.012
"218","CHEMBL399704","chemblid",125.89
"219","CHEMBL248746","chemblid",15.85
"220","CHEMBL182136","chemblid",190
"221","CHEMBL181123","chemblid",7.3
"222","CHEMBL181337","chemblid",21
"223","CHEMBL181764","chemblid",1.5
"224","CHEMBL1078491","chemblid",10000
"225","CHEMBL380096","chemblid",18
"226","CHEMBL392268","chemblid",55
"227","CHEMBL253966","chemblid",34
"228","CHEMBL254973","chemblid",0.72
"229","CHEMBL482194","chemblid",5011.87
"230","CHEMBL481013","chemblid",0.1585
"231","CHEMBL480639","chemblid",2.512
"232","CHEMBL1079170","chemblid",1000
"233","CHEMBL1078268","chemblid",1000
"234","CHEMBL401891","chemblid",316.23
"235","CHEMBL491836","chemblid",10000
"236","CHEMBL491837","chemblid",NA
"237","CHEMBL1162062","chemblid",6.026
"238","CHEMBL383526","chemblid",7.5
"239","CHEMBL479864","chemblid",5011.87
"240","CHEMBL481014","chemblid",15.85
"241","CHEMBL359686","chemblid",6.4
"242","CHEMBL490627","chemblid",140
"243","CHEMBL490390","chemblid",14000
"244","CHEMBL482623","chemblid",120
"245","CHEMBL521176","chemblid",30
"246","CHEMBL485092","chemblid",90
"247","CHEMBL393321","chemblid",51
"248","CHEMBL412303","chemblid",6.31
"249","CHEMBL492230","chemblid",40
"250","CHEMBL523795","chemblid",80
"251","CHEMBL238155","chemblid",12
"252","CHEMBL236038","chemblid",30
"253","CHEMBL391510","chemblid",29
"254","CHEMBL481601","chemblid",15.85
"255","CHEMBL480821","chemblid",0.05012
"256","CHEMBL518774","chemblid",0.1995
"257","CHEMBL521439","chemblid",6.31
"258","CHEMBL2364441","chemblid",1.995
"259","CHEMBL2364443","chemblid",19.95
"260","CHEMBL2364338","chemblid",1
"261","CHEMBL2364342","chemblid",5.012
"262","CHEMBL2364359","chemblid",10
"263","CHEMBL2364364","chemblid",100
"264","CHEMBL2364367","chemblid",5.012
"265","CHEMBL2364373","chemblid",19.95
"266","CHEMBL261234","chemblid",70
"267","CHEMBL281764","chemblid",3.02
"268","CHEMBL382844","chemblid",3
"269","CHEMBL235446","chemblid",43
"270","CHEMBL3797639","chemblid",170
"271","CHEMBL3798337","chemblid",82
"272","CHEMBL398372","chemblid",1.92
"273","CHEMBL460680","chemblid",0.27
"274","CHEMBL490185","chemblid",10000
"275","CHEMBL490601","chemblid",150
"276","CHEMBL482420","chemblid",3
"277","CHEMBL485091","chemblid",1260
"278","CHEMBL507551","chemblid",250
"279","CHEMBL270876","chemblid",19
"280","CHEMBL271082","chemblid",19
"281","CHEMBL182050","chemblid",4.3
"282","CHEMBL178502","chemblid",219
"283","CHEMBL181051","chemblid",257
"284","CHEMBL181156","chemblid",39
"285","CHEMBL360547","chemblid",0.49
"286","CHEMBL178900","chemblid",0.73
"287","CHEMBL3578016","chemblid",79.43
"288","CHEMBL3578017","chemblid",39.81
"289","CHEMBL270573","chemblid",19.95
"290","CHEMBL272993","chemblid",0.7943
"291","CHEMBL2364384","chemblid",1.585
"292","CHEMBL2364389","chemblid",39.81
"293","CHEMBL2364403","chemblid",1
"294","CHEMBL2364477","chemblid",10
"295","CHEMBL2364482","chemblid",3.981
"296","CHEMBL2364461","chemblid",39.81
"297","CHEMBL2364405","chemblid",31.62
"298","CHEMBL2364407","chemblid",1.995
"299","CHEMBL2364418","chemblid",100
"300","CHEMBL2364337","chemblid",15.85
"301","CHEMBL2364476","chemblid",15.85
"302","CHEMBL2364480","chemblid",1.995
"303","CHEMBL2364488","chemblid",15.85
"304","CHEMBL2364492","chemblid",6.31
"305","CHEMBL2364439","chemblid",31.62
"306","CHEMBL2364452","chemblid",25.12
"307","CHEMBL403426","chemblid",24
"308","CHEMBL252448","chemblid",32
"309","CHEMBL2364354","chemblid",0.631
"310","CHEMBL2364445","chemblid",25.12
"311","CHEMBL2364344","chemblid",25.12
"312","CHEMBL2364420","chemblid",5.012
"313","CHEMBL2364427","chemblid",0.3981
"314","CHEMBL2364431","chemblid",10
"315","CHEMBL2364351","chemblid",63.1
"316","CHEMBL2170781","chemblid",7.2
"317","CHEMBL2170781","chemblid",3.3
"318","CHEMBL258550","chemblid",11
"319","CHEMBL259712","chemblid",4.4
"320","CHEMBL409258","chemblid",204
"321","CHEMBL415095","chemblid",32
"322","CHEMBL262884","chemblid",7.6
"323","CHEMBL2364453","chemblid",31.62
"324","CHEMBL2364463","chemblid",100
"325","CHEMBL2364378","chemblid",31.62
"326","CHEMBL252643","chemblid",12
"327","CHEMBL2170779","chemblid",7.2
"328","CHEMBL488973","chemblid",NA
"329","CHEMBL491221","chemblid",20
"330","CHEMBL489402","chemblid",780
"331","CHEMBL2170776","chemblid",124.1
"332","CHEMBL2170697","chemblid",168.6
"333","CHEMBL2170781","chemblid",3.4
"334","CHEMBL506986","chemblid",45.6
"335","CHEMBL2170781","chemblid",1000
"336","CHEMBL520953","chemblid",90
"337","CHEMBL403542","chemblid",1580
"338","CHEMBL59572","chemblid",378.1
"339","CHEMBL266199","chemblid",23
"340","CHEMBL374757","chemblid",41
"341","CHEMBL399652","chemblid",NA
"342","CHEMBL522473","chemblid",NA
"343","CHEMBL528111","chemblid",NA
"344","CHEMBL490186","chemblid",900
"345","CHEMBL489610","chemblid",1500
"346","CHEMBL489818","chemblid",4
"347","CHEMBL489819","chemblid",180
"348","CHEMBL1161828","chemblid",1.1
"349","CHEMBL400124","chemblid",3.162
"350","CHEMBL501315","chemblid",125.89
"351","CHEMBL374073","chemblid",64
"352","CHEMBL397594","chemblid",390
"353","CHEMBL240522","chemblid",12
"354","CHEMBL241242","chemblid",256
"355","CHEMBL294923","chemblid",10
"356","CHEMBL1161824","chemblid",2.089
"357","CHEMBL1162065","chemblid",0.2818
"358","CHEMBL130229","chemblid",3
"359","CHEMBL441360","chemblid",5.012
"360","CHEMBL383526","chemblid",7.586
"361","CHEMBL394179","chemblid",NA
"362","CHEMBL391922","chemblid",NA
"363","CHEMBL1162058","chemblid",3
"364","CHEMBL296104","chemblid",6
"365","CHEMBL2304221","chemblid",0.8
"366","CHEMBL1793862","chemblid",3
"367","CHEMBL379564","chemblid",5
"368","CHEMBL1162926","chemblid",3
"369","CHEMBL1162926","chemblid",3.02
