"","Id","Id.Type","Standard.Value"
"158","CHEMBL2048824","chemblid",27
"159","CHEMBL2048819","chemblid",69
"160","CHEMBL519322","chemblid",30
"161","CHEMBL2170779","chemblid",234.2
"162","CHEMBL2170781","chemblid",4.9
"163","CHEMBL3358450","chemblid",15
"164","CHEMBL3287216","chemblid",15.49
"165","CHEMBL2048807","chemblid",407.38
"166","CHEMBL3287214","chemblid",10.47
"167","CHEMBL236857","chemblid",5000
"168","CHEMBL237927","chemblid",3120
"169","CHEMBL3394199","chemblid",13
"170","CHEMBL3394196","chemblid",50
"171","CHEMBL3799776","chemblid",4
"172","CHEMBL3799567","chemblid",1000
"173","CHEMBL3799671","chemblid",62
"174","CHEMBL3800383","chemblid",1000
"175","CHEMBL3913855","chemblid",0.1
"176","CHEMBL3910300","chemblid",0.1
"177","CHEMBL3902856","chemblid",10
"178","CHEMBL3920156","chemblid",1000
"179","CHEMBL3942543","chemblid",100
"180","CHEMBL3909431","chemblid",10
"181","CHEMBL3961160","chemblid",100
"182","CHEMBL3907891","chemblid",0.1
"183","CHEMBL3952699","chemblid",10
"184","CHEMBL3893476","chemblid",10
"185","CHEMBL3929656","chemblid",100
"186","CHEMBL3970491","chemblid",100
"187","CHEMBL3908264","chemblid",10
"188","CHEMBL3893850","chemblid",100
"189","CHEMBL3924635","chemblid",10
"190","CHEMBL3942528","chemblid",10
"191","CHEMBL3902597","chemblid",1000
"192","CHEMBL3913981","chemblid",100
"193","CHEMBL3905641","chemblid",10000
"194","CHEMBL3946007","chemblid",10
"195","CHEMBL3897478","chemblid",10000
"196","CHEMBL3932189","chemblid",10000
"197","CHEMBL3934402","chemblid",10
"198","CHEMBL3979911","chemblid",10
"199","CHEMBL3905791","chemblid",0.1
"200","CHEMBL3921750","chemblid",10
"201","CHEMBL3973513","chemblid",0.1
"202","CHEMBL3975975","chemblid",10
"203","CHEMBL3954620","chemblid",100
"204","CHEMBL3981960","chemblid",100
"205","CHEMBL3909702","chemblid",10000
"206","CHEMBL3900122","chemblid",100
"207","CHEMBL3949704","chemblid",100
"208","CHEMBL3903351","chemblid",100
"209","CHEMBL3955437","chemblid",0.1
"210","CHEMBL3945280","chemblid",1000
"211","CHEMBL3951110","chemblid",100
"212","CHEMBL3957233","chemblid",10000
"213","CHEMBL1923508","chemblid",1000
"214","CHEMBL3898864","chemblid",100
"215","CHEMBL3943294","chemblid",10
"216","CHEMBL1923637","chemblid",0.1
"217","CHEMBL3949023","chemblid",100
"218","CHEMBL3942610","chemblid",100
"219","CHEMBL3984892","chemblid",1000
"220","CHEMBL1923506","chemblid",100
"221","CHEMBL1923505","chemblid",1000
"222","CHEMBL3974776","chemblid",1000
"223","CHEMBL3909498","chemblid",10000
"224","CHEMBL3932144","chemblid",10000
"225","CHEMBL3985913","chemblid",1000
"226","CHEMBL1923608","chemblid",10
"227","CHEMBL238155","chemblid",190
"228","CHEMBL2164497","chemblid",1000
"229","CHEMBL2426687","chemblid",9.12
"230","CHEMBL1957010","chemblid",0.05
"231","CHEMBL1956996","chemblid",2.6
"232","CHEMBL2170701","chemblid",22.1
"233","CHEMBL2426680","chemblid",29.51
"234","CHEMBL2164508","chemblid",286
"235","CHEMBL1957011","chemblid",5
"236","CHEMBL2170780","chemblid",247.2
"237","CHEMBL3287218","chemblid",6.607
"238","CHEMBL2164823","chemblid",202
"239","CHEMBL2164507","chemblid",3
"240","CHEMBL3287213","chemblid",4.571
"241","CHEMBL3287218","chemblid",6.607
"242","CHEMBL2164500","chemblid",121
