"","Id","Id.Type"
"1",NA,"inchikey"
"2",NA,"inchikey"
"3",NA,"inchikey"
"4",NA,"inchikey"
"5",NA,"inchikey"
"6",NA,"inchikey"
"7",NA,"inchikey"
"8",NA,"inchikey"
"9",NA,"inchikey"
"10",NA,"inchikey"
"11",NA,"inchikey"
"12",NA,"inchikey"
"13",NA,"inchikey"
"14",NA,"inchikey"
"15",NA,"inchikey"
"16",NA,"inchikey"
"17",NA,"inchikey"
"18",NA,"inchikey"
